Position Number,Applicant ID,Applicant Status,Internal/External Applicant,Sex,Disabled,Disab Vet,Race/Ethnicity,Mil Status
18527.0,20370999,Rejected; No Interview,External,Male,N,N,Asian,Not a Veteran
18527.0,22171743,Rejected; Interview,External,Female,,,Not Applicable,Not indicated
18527.0,23712739,Rejected; No Interview,External,Female,N,N,Black/African American,Not a Veteran
18527.0,24058253,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
18527.0,24312432,Rejected; No Interview,External,Male,N,N,Black/African American,Not a Veteran
18527.0,38614869,Rejected; No Interview,External,Male,N,N,Black/African American,Not a Veteran
18527.0,42368517,Rejected; No Interview,External,Female,Y,,White,Not indicated
18527.0,45053602,Rejected; No Interview,External,Female,,,White,Not indicated
18527.0,49169913,Rejected; Interview,External,Male,N,N,White,Not a Veteran
18527.0,52903805,Rejected; No Interview,External,Female,N,N,Asian,Not a Veteran
18527.0,53784170,Rejected; No Interview,External,Female,,,Asian,Not indicated
18527.0,60032641,Rejected; No Interview,External,Female,N,N,Hispanic/Latino,Not a Veteran
18527.0,63023681,Rejected; No Interview,External,Female,,,Black/African American,Not indicated
18527.0,64643375,Rejected; No Interview,External,Female,N,N,Asian,Not a Veteran
18527.0,67107660,Rejected; Min Qualifications Not Met,External,Male,N,N,Hispanic/Latino,Not a Veteran
18527.0,68504388,Rejected; No Interview,External,Male,,,White,Not indicated
18527.0,70360857,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
18527.0,74354468,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
18527.0,77291089,Rejected; No Interview,External,Female,N,N,Hispanic/Latino,Not a Veteran
18527.0,81407426,Rejected; Min Qualifications Not Met,External,Male,N,N,American Indian/Alaska Native,Not a Veteran
18527.0,82015986,Rejected; No Interview,External,Female,,,Asian,Not indicated
18527.0,93929435,Rejected; No Interview,External,Male,N,N,Black/African American,Not a Veteran
18529.0,11125290,Rejected; Interview,External,Male,,,Asian,Not indicated
18529.0,11719927,Rejected; No Interview,External,Female,,,White,Not indicated
18529.0,12860151,Hired,External,Male,,,Hispanic/Latino,No Military Service
18529.0,18514715,Rejected; No Interview,External,Male,,,White,Not indicated
18529.0,18861821,Rejected; No Interview,External,Male,,,Not Applicable,Not indicated
18529.0,21157614,Rejected; No Interview,External,Female,,,Asian,Not indicated
18529.0,22037167,Rejected; No Interview,External,Female,Y,N,White,Not a Veteran
18529.0,24191145,Rejected; Min Qualifications Not Met,External,Female,N,N,White,Not a Veteran
18529.0,24595538,Rejected; Interview,External,Female,Y,N,Asian,Not a Veteran
18529.0,35312023,Rejected; No Interview,External,Female,,,White,Not indicated
